Table A1;;;;;;;;;;;;
Growth-irradiance curve parameters and other information for all experiments used in the paper. The columns include: species (species name), mu_max (µmax, d-1), alpha (α, d-1 µmol photons-1 m2 s1), I_opt (Iopt, µmol photons m-2 s-1), I_max (the maximum irradiance used in the experiment, µmol photons m-2 s-1), culture temperature (°C), culture daylength (h), cell volume (µm3), taxon, environment (C = coastal, O = oceanic), Chl:C (mass ratio, measured under the lowest irradiance), and reference. In some cases the model-estimated Iopt can be very high, suggesting no evidence for photoinhibition in the experiment. We have included the maximum irradiance used in the experiment for comparison. ;;;;;;;;;;;;
;;;;;;;;;;;;
species;mu_max;alpha;I_opt;I_max;temperature;daylength;volume;taxon;environment;Chl:C;reference;
Detonula confervacea;7.83E-01;2.79E-02;1.87E+02;2.63E+02;7.00E+00;1.20E+01;1.61E+03;diatom;C;na;24;
Triparma laevis;2.32E+00;4.67E-02;7.12E+02;4.96E+02;5.00E+00;1.40E+01;na;bolidophyte;O;na;25;
Rhizosolenia fragilissima;4.78E-01;6.45E-02;8.79E+01;2.63E+02;9.00E+00;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.23E-01;7.42E-02;7.06E+01;2.63E+02;1.20E+01;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.22E-01;2.90E+00;2.39E+07;2.63E+02;1.80E+01;2.40E+01;na;diatom;C;na;26;
Rhizosolenia fragilissima;8.35E-01;1.03E+00;5.40E+01;2.63E+02;2.50E+01;2.40E+01;na;diatom;C;na;26;
Pycnococcus provasolii;3.11E-01;2.80E-02;1.27E+02;3.58E+02;1.00E+01;1.20E+01;na;chlorophyte;O;na;27;
Pycnococcus provasolii;7.03E-01;3.87E-02;2.75E+03;3.53E+02;1.50E+01;1.20E+01;1.09E+01;chlorophyte;O;2.50E-02;27;
Pycnococcus provasolii;6.54E-01;4.70E-02;8.04E+03;5.34E+02;2.00E+01;1.20E+01;1.09E+01;chlorophyte;O;2.86E-02;27;
Phaeocystis globosa;8.11E-01;1.96E-02;3.54E+04;3.58E+02;1.40E+01;na;1.72E+02;phaeocystis;C;na;28;
Isochrysis galbana;4.13E-01;3.04E-02;4.08E+01;4.67E+01;2.50E+01;na;5.30E+01;haptophyte;na;na;29;
Asterionella glacialis;9.53E-01;1.63E-02;9.45E+01;1.22E+02;1.80E+01;2.40E+01;9.78E+01;diatom;C;na;29;
Synechococcus;1.78E+00;2.09E-02;7.57E+02;1.34E+03;2.25E+01;2.40E+01;1.19E+00;cyanobacteria;O;1.80E-02;30;
Gambierdiscus australes;2.78E-01;2.28E-03;7.72E+01;6.14E+02;2.60E+01;1.20E+01;9.31E+04;dinoflagellate;na;na;31;
Gambierdiscus caribaeus;2.62E-01;8.74E-04;1.75E+02;6.69E+02;2.60E+01;1.20E+01;1.70E+05;dinoflagellate;na;na;31;
Gambierdiscus carpenteri;3.94E-01;7.57E-03;1.59E+02;6.11E+02;2.60E+01;1.20E+01;1.50E+05;dinoflagellate;na;na;31;
Gambierdiscus ruetzleri;2.78E-01;4.93E-03;2.16E+02;6.63E+02;2.60E+01;1.20E+01;6.00E+04;dinoflagellate;na;na;31;
Gambierdiscus ribotype2;2.70E-01;2.22E-03;9.04E+01;6.70E+02;2.60E+01;1.20E+01;9.00E+04;dinoflagellate;na;na;31;
